Aerolândia;0.9489;0.3108
Aeroporto;0.8982;0.1768
Aldeota;0.994;0.8666
Alto da Balança;0.9387;0.3472
Álvaro Weyne;0.9598;0.3647
Amadeo Furtado;0.9728;0.5877
Ancuri;0.8879;0.2043
Antônio Bezerra;0.9607;0.3483
Amadeu Furtado;0;0
Arraial Moura Brasil;0.9098;0.2847
Autran Nunes;0.894;0.1821
Barra do Ceará;0.9242;0.2157
Barroso;0.9093;0.1869
Bela Vista;0.9565;0.3753
Benfica;0.9891;0.6285
Boa Vista;0.9432;0.2857
Bom Futuro;0.9838;0.5054
Bom Jardim;0.9119;0.1949
Bonsucesso;0.9302;0.2621
Cais do Porto;0.8927;0.2236
Cajazeiras;0.9545;0.3045
Cambeba;0.9686;0.5176
Canindezinho;0.9028;0.1363
Carlito Pamplona;0.9302;0.2997
Centro;0.9838;0.5567
Cidade 2000;0.9929;0.5619
Cidade dos Funcionários;0.9848;0.5719
Coaçu;0.9372;0.2553
Cocó;0.998;0.7623
Conjunto Ceará I;0.9828;0.36
Conjunto Ceará II;0.9798;0.3617
Conjunto Esperança;0.9524;0.288
Conjunto Palmeiras;0.915;0.1067
Couto Fernandes;0.9302;0.3612
Cristo Redentor;0.9119;0.2538
Curió;0.9089;0.1882
Damas;0.9858;0.5106
De Lourdes;0.9747;0.6418
Demócrito Rocha;0.9626;0.3694
Dendê;0.9484;0.1811
Dias Macêdo;0.9281;0.271
Dionísio Torres;0.999;0.8597
Dom Lustosa;0.9615;0.3201
Edson Queiroz;0.9646;0.3503
Farias Brito;0.9706;0.4998
Fátima;0.998;0.6948
Floresta;0.9291;0.2238
Genibaú;0.8968;0.1386
Granja Lisboa;0.9079;0.17
Granja Portugal;0.8947;0.1902
Guajerú;0.9474;0.2888
Guararapes;0.9939;0.7678
Henrique Jorge;0.9605;0.3408
Itaoca;0.9585;0.3735
Itaperi;0.9696;0.3684
Jacarecanga;0.9484;0.4482
Jangurussu;0.9453;0.1721
Jardim América;0.9737;0.4437
Jardim Cearense;0.9585;0.3182
Jardim das Oliveiras;0.9038;0.27
Jardim Guanabara;0.9565;0.3251
Jardim Iracema;0.9534;0.2901
João XXIII;0.9453;0.2837
Joaquim Távora;0.9848;0.6625
Jóquei Clube;0.9636;0.4064
José Bonifácio;0.9919;0.6438
José de Alencar;0.9443;0.377
Lagoa Redonda;0.9231;0.2527
Luciano Cavalcante;0.9676;0.5224
Manoel Sátiro;0.9565;0.2922
Manuel Dias Branco;0.92;0.3372
Maraponga;0.9676;0.3904
Meireles;1;0.9531
Messejana;0.9565;0.3757
Mondubim;0.9474;0.2328
Moura Brasil;0;0
Monte Castelo;0.9676;0.4345
Montese;0.9646;0.4728
Mucuripe;0.9828;0.7931
Novo Mondubim;0;0
Olavo Oliveira;0;0
Padre Andrade;0.9433;0.3612
Panamericano;0.9565;0.3735
Papicu;0.9514;0.5296
Parangaba;0.9676;0.4189
Parque Araxá;0.9727;0.5874
Parque Dois Irmãos;0.9504;0.2511
Parque Iracema;0.9818;0.505
Parque Manibura;0.9818;0.578
Parque Presidente Vargas;0.9008;0.1352
Parque Santa Maria;0;0
Parque Santa Rosa;0.9322;0.2431
Parque São José;0.9281;0.2841
Parquelândia;0.9899;0.6284
Parreão;0.9848;0.572
Passaré;0.9383;0.2247
Paupina;0.9261;0.2461
Pedras;0.8826;0.2638
Pici;0.9291;0.2186
Pirambú;0.8887;0.2298
Planalto Ayrton Senna;0.9059;0.1683
Praia de Iracema;0.9838;0.7201
Praia do Futuro I;0.8856;0.2914
Praia do Futuro II;0.8978;0.1679
Prefeito José Walter;0.9656;0.3953
Presidente Kennedy;0.9626;0.429
Quintino Cunha;0.9281;0.2225
Rodolfo Teófilo;0.9727;0.4819
Sabiaguaba;0.8897;0.2673
Salinas;0.9585;0.4913
São Bento;0.9251;0.1983
São Gerardo;0.9949;0.5942
São João do Tauape;0.9605;0.4915
Sapiranga/Coité;0.9372;0.3378
Serrinha;0.9302;0.2829
Siqueira;0.8957;0.1487
Varjota;0.9919;0.7176
Vila Ellery;0.9676;0.4157
Vila Peri;0.9636;0.3417
Vila União;0.9666;0.4671
Vila Velha;0.9413;0.2717
Vicente Pinzon;0.9261;0.3315
